"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"libjpeg","9f","IJG","README","jpegsrc.v9f.tar.gz","http://www.ijg.org/files","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"libpng","1.6.42","Libpng-2.0","LICENSE","libpng-1.6.42.tar.xz","http://downloads.sourceforge.net/project/libpng/libpng16/1.6.42","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-libzlib [Zlib] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"gzip","1.13","GPL-3.0+","COPYING","gzip-1.13.tar.xz","http://mirrors.kernel.org/gnu/gzip","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"intltool","0.51.0","GPL-2.0+","COPYING","intltool-0.51.0.tar.gz","https://launchpad.net/intltool/trunk/0.51.0/+download","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-expat [MIT] host-gettext-tiny [MIT, GPL-3.0+ (extra gettext)] host-hiredis [BSD-3-Clause] host-libxml-parser-perl [Artistic or GPL-1.0+] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"libxml-parser-perl","2.47","Artistic or GPL-1.0+","README","XML-Parser-2.47.tar.gz","https://cpan.metacpan.org/authors/id/T/TO/TODDR","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-expat [MIT] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"ntfs-3g","2022.10.3","GPL-2.0+, LGPL-2.0+","COPYING COPYING.LIB","ntfs-3g_ntfsprogs-2022.10.3.tgz","http://tuxera.com/opensource","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"patchelf","0.13","GPL-3.0+","COPYING","patchelf-0.13.tar.bz2","https://github.com/NixOS/patchelf/releases/download/0.13","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"zip","3.0","Info-ZIP","LICENSE","zip30.tgz","ftp://ftp.info-zip.org/pub/infozip/src","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"tzdata","2023c","Public domain","LICENSE","tzdata2023c.tar.gz","https://www.iana.org/time-zones/repository/releases","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zic [Public domain] host-zstd [BSD-3-Clause or GPL-2.0]"
"zic","2023c","Public domain","LICENSE","tzcode2023c.tar.gz","https://www.iana.org/time-zones/repository/releases","host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-hiredis [BSD-3-Clause] host-pkgconf [pkgconf license] host-skeleton [unknown] host-tar [GPL-3.0+] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"xapp_xkbcomp","1.4.6","MIT","COPYING","xkbcomp-1.4.6.tar.xz","http://xorg.freedesktop.org/releases/individual/app","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-expat [MIT] host-hiredis [BSD-3-Clause] host-libffi [MIT] host-libopenssl [Apache-2.0] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libxcb [MIT] host-libxml2 [MIT] host-libxslt [MIT] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-python3 [Python-2.0, others] host-skeleton [unknown] host-tar [GPL-3.0+] host-xcb-proto [MIT] host-xlib_libX11 [MIT] host-xlib_libXau [MIT] host-xlib_libXdmcp [MIT] host-xlib_libxkbfile [MIT] host-xlib_xtrans [MIT] host-xorgproto [MIT] host-xutil_util-macros [MIT] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
"xlib_libX11","1.8.7","MIT","COPYING","libX11-1.8.7.tar.xz","https://xorg.freedesktop.org/archive/individual/lib","host-autoconf [GPL-3.0+ with exceptions] host-autoconf-archive [GPL-3.0+ with exception] host-automake [GPL-2.0+] host-ccache [GPL-3.0+, others] host-cmake [BSD-3-Clause] host-expat [MIT] host-hiredis [BSD-3-Clause] host-libffi [MIT] host-libopenssl [Apache-2.0] host-libtool [GPL-2.0+ (libtool), LGPL-2.1+ (libltdl)] host-libxcb [MIT] host-libxml2 [MIT] host-libxslt [MIT] host-libzlib [Zlib] host-m4 [GPL-3.0+] host-pkgconf [pkgconf license] host-python3 [Python-2.0, others] host-skeleton [unknown] host-tar [GPL-3.0+] host-xcb-proto [MIT] host-xlib_libXau [MIT] host-xlib_libXdmcp [MIT] host-xlib_xtrans [MIT] host-xorgproto [MIT] host-xutil_util-macros [MIT] host-xz [Public Domain, GPL-2.0+, GPL-3.0+, LGPL-2.1+] host-zstd [BSD-3-Clause or GPL-2.0]"
